n,algorithm,time_ms,char_comparisons,input_type
2400,MSD Radix + QS,1.146,17944,almost_sorted
2500,std::sort,3.296,128810,almost_sorted
2500,StringMergeSort,4.350,46883,almost_sorted
2500,StringQuickSort,3.333,93685,almost_sorted
2500,MSD Radix,9.049,6084,almost_sorted
2500,MSD Radix + QS,1.228,18657,almost_sorted
2600,std::sort,3.616,138733,almost_sorted
2600,StringMergeSort,4.694,49002,almost_sorted
2600,StringQuickSort,3.579,97974,almost_sorted
2600,MSD Radix,9.476,6335,almost_sorted
2600,MSD Radix + QS,1.237,19461,almost_sorted
2700,std::sort,3.687,147161,almost_sorted
2700,StringMergeSort,4.725,50568,almost_sorted
2700,StringQuickSort,3.675,103501,almost_sorted
2700,MSD Radix,9.813,6570,almost_sorted
2700,MSD Radix + QS,1.356,20192,almost_sorted
2800,std::sort,4.103,167674,almost_sorted
2800,StringMergeSort,5.056,51616,almost_sorted
2800,StringQuickSort,3.916,108623,almost_sorted
2800,MSD Radix,10.032,6815,almost_sorted
2800,MSD Radix + QS,1.337,20926,almost_sorted
2900,std::sort,4.485,194962,almost_sorted
2900,StringMergeSort,5.097,54619,almost_sorted
2900,StringQuickSort,4.193,118179,almost_sorted
2900,MSD Radix,10.658,7058,almost_sorted
2900,MSD Radix + QS,1.412,21644,almost_sorted
3000,std::sort,1.335,38165,almost_sorted
3000,StringMergeSort,5.429,56374,almost_sorted
3000,StringQuickSort,4.434,124020,almost_sorted
3000,MSD Radix,10.633,7296,almost_sorted
3000,MSD Radix + QS,1.409,22354,almost_sorted
